,first,last,next,prev,page,pages,count,type,id,attributes,relationships,links
0,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=148,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=2,,1,148,3676,studies,MGYS00005756,"{'bioproject': 'PRJNA336694', 'samples-count': None, 'accession': 'MGYS00005756', 'secondary-accession': 'SRP082081', 'centre-name': 'DOE Joint Genome Institute', 'is-public': True, 'public-release-date': None, 'study-abstract': '', 'study-name': 'Marine microbial community from Cabo Rojo, Puerto Rico - PR CR 10% Liquid 1 metagenome', 'data-origination': 'HARVESTED', 'last-update': '2021-06-29T08:25:50'}","{'biomes': {'data': [], 'meta': {'count': 0}, 'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005756/biomes'}}, 'downloads': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005756/downloads'}}, 'samples': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005756/samples'}}, 'analyses': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005756/analyses'}}, 'geocoordinates': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005756/geocoordinates'}}, 'publications': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005756/publications'}}}",{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005756'}
1,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=148,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=2,,1,148,3676,studies,MGYS00003269,"{'bioproject': 'PRJEB26213', 'samples-count': 1, 'accession': 'MGYS00003269', 'secondary-accession': 'ERP108186', 'centre-name': 'EMG', 'is-public': True, 'public-release-date': None, 'study-abstract': 'The marine metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA336694.  This project includes samples from the following biomes: Environmental, Aquatic, Marine.', 'study-name': 'EMG produced TPA metagenomics assembly of the Marine microbial community from Cabo Rojo, Puerto Rico - PR CR 10% Liquid 1 metagenome (marine metagenome) data set.', 'data-origination': 'SUBMITTED', 'last-update': '2021-06-29T08:25:48'}","{'biomes': {'data': [{'type': 'biomes', 'id': 'root:Environmental:Aquatic:Marine', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine'}}], 'meta': {'count': 1}, 'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003269/biomes'}}, 'downloads': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003269/downloads'}}, 'samples': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003269/samples'}}, 'analyses': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003269/analyses'}}, 'geocoordinates': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003269/geocoordinates'}}, 'publications': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003269/publications'}}}",{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003269'}
2,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=148,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=2,,1,148,3676,studies,MGYS00005403,"{'bioproject': 'PRJEB33729', 'samples-count': 1, 'accession': 'MGYS00005403', 'secondary-accession': 'ERP116545', 'centre-name': 'EMG', 'is-public': True, 'public-release-date': None, 'study-abstract': 'The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA336640.  This project includes samples from the following biomes: root:Environmental:Aquatic:Marine:Sediment.', 'study-name': 'EMG produced TPA metagenomics assembly of the PRJNA336640 data set (Marine sediment microbial community from La Parguera, Puerto Rico - PR Tt Sediment 2 metagenome).', 'data-origination': 'SUBMITTED', 'last-update': '2021-06-29T08:08:40'}","{'biomes': {'data': [{'type': 'biomes', 'id': 'root:Environmental:Aquatic:Marine:Sediment', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Sediment'}}], 'meta': {'count': 1}, 'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005403/biomes'}}, 'downloads': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005403/downloads'}}, 'samples': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005403/samples'}}, 'analyses': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005403/analyses'}}, 'geocoordinates': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005403/geocoordinates'}}, 'publications': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005403/publications'}}}",{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005403'}
3,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=148,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=2,,1,148,3676,studies,MGYS00005275,"{'bioproject': 'PRJEB30035', 'samples-count': 1, 'accession': 'MGYS00005275', 'secondary-accession': 'ERP112417', 'centre-name': 'EMG', 'is-public': True, 'public-release-date': None, 'study-abstract': 'The marine sediment metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA337846.  This project includes samples from the following biomes: Environmental, Aquatic, Estuary, Sediment.', 'study-name': 'EMG produced TPA metagenomics assembly of the Marine subseafloor sediment microbial communities, sample from White Oak River Estuary, NC, USA 14E metagenome (marine sediment metagenome) data set.', 'data-origination': 'SUBMITTED', 'last-update': '2021-06-29T07:57:57'}","{'biomes': {'data': [{'type': 'biomes', 'id': 'root:Environmental:Aquatic:Estuary:Sediment', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Estuary:Sediment'}}], 'meta': {'count': 1}, 'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005275/biomes'}}, 'downloads': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005275/downloads'}}, 'samples': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005275/samples'}}, 'analyses': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005275/analyses'}}, 'geocoordinates': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005275/geocoordinates'}}, 'publications': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005275/publications'}}}",{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005275'}
4,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=148,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=2,,1,148,3676,studies,MGYS00005755,"{'bioproject': 'PRJNA510730', 'samples-count': 202, 'accession': 'MGYS00005755', 'secondary-accession': 'SRP173877', 'centre-name': 'University of Rome Tor Vergata', 'is-public': True, 'public-release-date': None, 'study-abstract': ""In recent years, the hypothesis that gut microbiota associates with Parkinson's disease is growing, although a specific composition cannotbe taken as a predictive biomarker of this disease. Our main objective was to investigate dysbiosis of gut microbiota in a selected population of Parkinson's disease patients from center-south of Italy."", 'study-name': ""Microbiota composition of Parkinson's disease patients in southern Italy"", 'data-origination': 'HARVESTED', 'last-update': '2021-06-28T16:49:35'}","{'biomes': {'data': [{'type': 'biomes', 'id': 'root:Host-associated:Human:Digestive system:Large intestine:Fecal', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal'}}], 'meta': {'count': 1}, 'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755/biomes'}}, 'downloads': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755/downloads'}}, 'samples': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755/samples'}}, 'analyses': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755/analyses'}}, 'geocoordinates': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755/geocoordinates'}}, 'publications': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755/publications'}}}",{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005755'}
5,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=148,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=2,,1,148,3676,studies,MGYS00005752,"{'bioproject': 'PRJEB43733', 'samples-count': 1, 'accession': 'MGYS00005752', 'secondary-accession': 'ERP127722', 'centre-name': 'EMG', 'is-public': True, 'public-release-date': None, 'study-abstract': 'The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA683594, and was assembled with Flye v2.8.3. This project includes samples from the following biomes: root:Host-associated:Mammals:Digestive system:Fecal.', 'study-name': 'EMG produced TPA metagenomics assembly of PRJNA683594 data set (Manure metagenome from Ceftiofur-treated dairy cow).', 'data-origination': 'SUBMITTED', 'last-update': '2021-06-24T21:47:57'}","{'biomes': {'data': [{'type': 'biomes', 'id': 'root:Host-associated:Mammals:Digestive system:Fecal', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Digestive%20system:Fecal'}}], 'meta': {'count': 1}, 'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005752/biomes'}}, 'downloads': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005752/downloads'}}, 'samples': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005752/samples'}}, 'analyses': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005752/analyses'}}, 'geocoordinates': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005752/geocoordinates'}}, 'publications': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005752/publications'}}}",{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005752'}
6,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=148,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=2,,1,148,3676,studies,MGYS00005747,"{'bioproject': 'PRJDB7938', 'samples-count': 14, 'accession': 'MGYS00005747', 'secondary-accession': 'DRP006859', 'centre-name': 'Department of Biology, Faculty of Science, Kyushu University', 'is-public': True, 'public-release-date': None, 'study-abstract': 'We characterized the rumen microbiota of wild Yaku sika population by high throughput sequencing of bacterial 16S rRNA genes. Rumen microbiota play a crucial role in digesting cellulolytic biomass for ruminant diet. Deer in Yakushima Island Japan, known as Yaku sika, graze a wide range of forage types, and have caused serious reduction of forest understory vegetation in the island while increasing their population. Dietary shifts in the host, observed especially with Yaku sika at highly populated areas, are expected to influence community composition in RM. Significantly higher diversity and distinct community structure were observed in Yaku sika from high-density areas compared to those from decreasing population density areas. These features may contribute to the flexibility of Yaku sika dietary shift and to maintain nutritional status under high density conditions.', 'study-name': 'Diversity and composition of rumen microbiome  in Sika deers (Cervus nippon yakushimae) from Yakushima Island, Japan', 'data-origination': 'HARVESTED', 'last-update': '2021-06-07T20:08:46'}","{'biomes': {'data': [{'type': 'biomes', 'id': 'root:Host-associated:Mammals:Digestive system:Stomach:Rumen', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Digestive%20system:Stomach:Rumen'}}], 'meta': {'count': 1}, 'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005747/biomes'}}, 'downloads': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005747/downloads'}}, 'samples': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005747/samples'}}, 'analyses': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005747/analyses'}}, 'geocoordinates': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005747/geocoordinates'}}, 'publications': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005747/publications'}}}",{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005747'}
7,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=148,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=2,,1,148,3676,studies,MGYS00005746,"{'bioproject': 'PRJDB9539', 'samples-count': 8, 'accession': 'MGYS00005746', 'secondary-accession': 'DRP006853', 'centre-name': 'School of Marine Science, Ningbo University', 'is-public': True, 'public-release-date': None, 'study-abstract': '?In order to study the response mechanism of shrimp gastrointestinal microbes to diseases, we collected the subadult shrimp with acute hepatopancreatic necrosis syndrome (AHPND). This study preliminarily discussed the gastrointestinal bacterial community structure variation and functional differentiation of subadults when AHPND outbreak, and provided a basis reference for the microbial ecological control of AHPND.', 'study-name': 'Study on the dynamics of gastrointestinal bacteria in subadult shrimp (Litopenaeus vannamei) with acute hepatic pancreatic necrosis syndrome (AHPND)', 'data-origination': 'HARVESTED', 'last-update': '2021-06-07T20:07:14'}","{'biomes': {'data': [{'type': 'biomes', 'id': 'root:Host-associated:Arthropoda:Digestive system:Gut', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Arthropoda:Digestive%20system:Gut'}}], 'meta': {'count': 1}, 'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005746/biomes'}}, 'downloads': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005746/downloads'}}, 'samples': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005746/samples'}}, 'analyses': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005746/analyses'}}, 'geocoordinates': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005746/geocoordinates'}}, 'publications': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005746/publications'}}}",{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005746'}
8,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=148,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=2,,1,148,3676,studies,MGYS00005745,"{'bioproject': 'PRJDB10581', 'samples-count': 114, 'accession': 'MGYS00005745', 'secondary-accession': 'DRP006831', 'centre-name': 'Osaka city university graduate school of medicine', 'is-public': True, 'public-release-date': None, 'study-abstract': 'Threatened preterm labor (TPL) and preterm birth (PTB) are significant obstetric complications during pregnancy. However, their triggers have not been fully elucidated. To identify the predisposing factors of TPL and PTB, this project analyzed the oral, vaginal, and rectal microbial profiles to identify potential inter-organ bacterial communication.', 'study-name': 'Oral, vaginal, and intestinal microbiota analysis in pregnancy', 'data-origination': 'HARVESTED', 'last-update': '2021-06-07T19:57:51'}","{'biomes': {'data': [{'type': 'biomes', 'id': 'root:Host-associated:Human', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human'}}], 'meta': {'count': 1}, 'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005745/biomes'}}, 'downloads': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005745/downloads'}}, 'samples': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005745/samples'}}, 'analyses': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005745/analyses'}}, 'geocoordinates': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005745/geocoordinates'}}, 'publications': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005745/publications'}}}",{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005745'}
9,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=1,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=148,https://www.ebi.ac.uk/metagenomics/api/v1/studies?page=2,,1,148,3676,studies,MGYS00005744,"{'bioproject': 'PRJDB9516', 'samples-count': 69, 'accession': 'MGYS00005744', 'secondary-accession': 'DRP006825', 'centre-name': 'The University of Tokyo Chichibu Forest, Graduate School of Agricultural and Life Sciences, The University of Tokyo', 'is-public': True, 'public-release-date': None, 'study-abstract': 'The goal of this study was to understand the diversity of soil fungi across elevational gradients and to disentangle the direct and indirect effects of climate conditions, plant communities and soil properties on soil fungal richness. This study was conducted in cool-temperate and sub-alpine forests in the University of Tokyo Chichibu Forest in central Japan. We used amplicon-based sequencing of ITS2 region (fITS7/ITS4) to characterize the soil fungal community.', 'study-name': 'Soil fungal diversity along elevation gradients', 'data-origination': 'HARVESTED', 'last-update': '2021-06-07T19:42:24'}","{'biomes': {'data': [{'type': 'biomes', 'id': 'root:Environmental:Terrestrial:Soil', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil'}}], 'meta': {'count': 1}, 'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005744/biomes'}}, 'downloads': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005744/downloads'}}, 'samples': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005744/samples'}}, 'analyses': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005744/analyses'}}, 'geocoordinates': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005744/geocoordinates'}}, 'publications': {'links': {'related': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005744/publications'}}}",{'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005744'}
